Supplier,Account group,Tax Number 1,Tax Number 2,Name 1,Name 2,Name 3,Name 4,Search term,City,Country,District,Postal Code,Street,Address,City2,Telephone 1,Telephone 2,VAT Registration No.,
100276,Z001,2.30208E+11,,"SUGARWORKS, INC.",,,,SUGARWORKS,Manila,PH,,1002,"5/F Miracle Bldg., 873 M.F. Jhocson",27117,MANILA,2543623,,,
100277,Z001,5283689000,,SWITZ MARKETING CORPORATION,,,,SWITZ MARK,San Juan,PH,,1500,"201 San Luis St., Brgy. Onse,",27118,SAN JUAN,7051108,7440360,,
100280,Z001,7611856000,,STARI GRAD IMPORTS INCORPORATED,,,,STARI GRAD,Laguna,PH,,4023,"Unit2,934 Tayao Apt.,Sibulo1,Brgy.N",27121,LAGUNA,5502436,87827635,,
100282,Z001,275554089,,"SAN MIGUEL FOODS, INC.-GREAT FOOD",SOLUTIONS,,,SAN MIGUEL,Pasig,PH,,1604,100 E Rodriguez Jr. Ave. ( C5 Road,27123,PASIG,83170000,,,
100289,Z001,5286919000,,"TRUE CONFECTIONS, INC.",,,,TRUE CONFE,Mandaluyong,PH,,1550,7 Liko St.,27130,MANDALUYONG,5329864,87181601,,
100460,Z001,7338679000,,"VANTAGE POINT PRINT HOUSE, INC.",,,,VANTAGE PO,Quezon,PH,,1100,60 Felix Manalo St Cubao,27484,QUEZON,84132303,86544228,,
100469,Z001,2.19203E+11,,WILLS INTERNATIONAL SALES CORP.,,,,WILLS INTE,Taguig City,PH,Fourth,1634,"P2 11th Corporate Center 11th Ave.,",27493,TAGUIG CITY,7370999 LOCAL...,9175248396,,
100604,Z001,246569000,,CATHAY PRINTING CORP.,,,,CATHAY PRI,Malabon City,PH,II,1475,"12 Avocado St., Potrero",27800,MALABON CITY,3613413,3613218,,
100785,Z001,411574000,,FORTUNE PACKAGING CORPORATION,,,,FORTUNE PA,Paranaque,PH,,1700,"# 20 Main Ave., Severina Ind'L Subd",28201,PARANAQUE,9178034272,9178034272,,
100787,Z001,10064238000,,FIRST ESTAN TRADING CORPORATION,,,,FIRST ESTA,Manila City,PH,,1010,524 Lavezarez St. Brgy 281 Zone 26,28203,MANILA CITY,9177777773,9177777773,,
101289,Z001,304440000,,SONLIE INTERNATIONAL INC.,,,,SONLIE INT,Pasay,PH,,1300,2652 Taft Avenue,29369,PASAY,8318882,88318904,,
101377,Z001,298350000,,TRANS-ASIA PHILS.MANUFACTURING INDU,S CORP.,,,TRANS-ASIA,Antipolo,PH,,1870,25-Saint Therese St. Maries Village,29569,ANTIPOLO,89373764,9088107917,,
101651,Z001,9764646000,,MILMAR TRADING AND PRINTING SERVICE,C.,,,MILMAR TRA,Manila,PH,,1016,"416 Hipodromo St., Sta. Mesa",33554,MANILA,84258220,9179341725,,
101747,Z001,364871000,,PAPERCON PHILS INC.,,,,PAPERCON P,Quezon City,PH,,1008,"29 Oliveros Drive A Samson I , Quez",35977,QUEZON CITY,,,,
101898,Z001,144888000,,"SCANASIA OVERSEAS, INC.",,,,SCANASIA O,Pasay,PH,Fourth,1300,"8/F Tower 1 Double Dragon Plaza, DD",37963,PASAY,9173187600,,,
101937,Z001,8876990000,,"3J METAL INDUSTRIES, INC.",,,,3J METAL I,Quezon City,PH,,1128,16 Golden Lane Morning Star Heights,38987,QUEZON CITY,9178150695,,,
101983,Z001,8862336000,,RIGHT GOODS SOUTH OPERATIONS INC.,,,,RIGHT GOOD,Laguna,PH,,4027,STMI Compound Brgy. Lawa,39604,LAGUNA,9178627497,,,
102018,Z001,389601000,,MAGNOLIA INC.,,,,MAGNOLIA I,City of Pasig,PH,Second District,1604,"100 E. Rodriguez Jr. Avenue, C5 Roa",40075,CITY OF PASIG,9173173843,,,
102072,Z001,63916208,,"PHILIPPINE SPRING WATER RESOURCES,",,NATURE'S SPRING,,PHILIPPINE,Mandaluyong City,PH,,1550,670 San Ignacio St. Plainview,40655,MANDALUYONG CITY,9173033650,,,
102109,Z001,9345178000,,"CQ INGREDIENTS TRADE, INC.",,,,CQ INGREDI,City of Pasig,PH,Second District,1605,Unit 215 Parc Chateau Condominium O,41015,CITY OF PASIG,9286383894,9171530733,,
